Book,Range,Source
Genesis,46:5.5-46:5.99,J
Genesis,46:6-27,P
Genesis,46:28-34,J
Genesis,47:1-6,J
Genesis,47:7-10,E
Genesis,47:11.1-47:27.5,J
Genesis,47:27.6-47:27.99,P
Genesis,47:28,P
Genesis,47:29-31,J
Genesis,48:1-2,E
Genesis,48:3-6,P
Genesis,48:7,R
Genesis,48:8-22,E
Genesis,49:1-27,J
Genesis,49:28,R
Genesis,49:29-33,P
Genesis,50:1-11,J
Genesis,50:12-13,P
Genesis,50:14-22,J
Genesis,50:23-26,E
